ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4801,CONSTRUCTION OF KING ABDULAZIZ PARK,Armada Holding | ?????? ???????,-,Lose,Saudi Arabia,Mohamed Ali
4802,CONSTRUCTION OF KING ABDULAZIZ PARK,Armada Holding | ?????? ???????,-,Lose,Saudi Arabia,Mohamed Ali
4803,CONSTRUCTION OF KING ABDULAZIZ PARK,Armada Holding | ?????? ???????,-,Lose,Saudi Arabia,Mohamed Ali
4804,CONSTRUCTION OF KING ABDULAZIZ PARK,Armada Holding | ?????? ???????,-,cold case,Saudi Arabia,Faiza Ahmed
4805,Construction of Northwest Transport Hub at Resort Core – sub district 3 in Qiddiya,Combined Group Contracting Co. (K.S.C.),-,cold case,Saudi Arabia,Nourhan Mohamed
4806,Construction of Northwest Transport Hub at Resort Core – sub district 3 in Qiddiya,Combined Group Contracting Co. (K.S.C.),-,cold case,Saudi Arabia,Nourhan Mohamed
4807,CONSTRUCTION OF PRIMARY CARE & DENTAL CLINICS KFMMC - DHAHRAN,Al-Mawraqi,-,Sent,Saudi Arabia,Faiza Ahmed
4808,CONSTRUCTION OF PRIMARY CARE & DENTAL CLINICS KFMMC - DHAHRAN,Al-Mawraqi,-,Sent,Saudi Arabia,Mohamed Ali
4809,CONSTRUCTION OF PRIMARY CARE & DENTAL CLINICS KFMMC - DHAHRAN,Al-Mawraqi,-,Sent,Saudi Arabia,Mohamed Ali
4810,CONSTRUCTION OF PRIMARY CARE & DENTAL CLINICS KFMMC - DHAHRAN,Al-Mawraqi,-,Sent,Saudi Arabia,Mohamed Ali
4811,Construction of Storage and Pumping Facilities for TSE at Manfouha,Abdullah Ibrahim Al Sayegh,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4812,Construction of Storage and Pumping Facilities for TSE at Manfouha,Abdullah Ibrahim Al Sayegh,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4813,Construction of the buildings for the Elite Athletes Training Center at King Abdullah Sports City in Jeddah,SHAR,Contractor,Sent,Saudi Arabia,Unassigned
4814,Construction of the buildings for the Elite Athletes Training Center at King Abdullah Sports City in Jeddah,SHAR,Contractor,Sent,Saudi Arabia,Mohamed Ali
4815,Construction of the buildings for the Elite Athletes Training Center at King Abdullah Sports City in Jeddah,SHAR,Contractor,Sent,Saudi Arabia,Mohamed Ali
4816,Construction of the buildings for the Elite Athletes Training Center at King Abdullah Sports City in Jeddah,SHAR,Contractor,Sent,Saudi Arabia,Mohamed Ali
4817,Construction of the security facilities building at the fifth site in Riyadh,Msandh Alemdad,Contractor,Postponed,Saudi Arabia,Unassigned
4818,Construction of the security facilities building at the fifth site in Riyadh,Msandh Alemdad,Contractor,Postponed,Saudi Arabia,Mohamed Ali
4819,Construction of the security facilities building at the fifth site in Riyadh,Msandh Alemdad,Contractor,Postponed,Saudi Arabia,Mohamed Ali
4820,Construction of the security facilities building at the fifth site in Riyadh,Msandh Alemdad,Contractor,Postponed,Saudi Arabia,Mohamed Ali
4821,Construction Village Housing Expansion,Shibh Al Jazira Contracting Company (SAJCO),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4822,Construction Village Housing Expansion,Shibh Al Jazira Contracting Company (SAJCO),Contractor,Lose,Saudi Arabia,Sherouk Ramdan
